Time, Position, Rotation
16:39:37:609,(1.708. 0.855. -0.231),(-0.054. 0.834. 0.073. 0.544)
16:39:38:61,(1.708. 0.856. -0.232),(-0.054. 0.834. 0.073. 0.544)
16:39:39:616,(1.649. 0.874. -0.228),(-0.103. 0.747. 0.050. 0.655)
16:39:40:621,(1.439. 0.967. -0.228),(0.109. 0.226. -0.115. 0.961)
16:39:41:627,(1.489. 0.977. -0.240),(0.068. 0.796. 0.031. 0.601)
16:39:42:631,(1.505. 1.006. -0.324),(-0.264. 0.719. 0.074. 0.639)
16:39:43:639,(1.421. 0.997. -0.238),(0.270. -0.135. -0.157. 0.940)
16:39:44:643,(1.204. 1.016. -0.090),(-0.179. -0.574. -0.062. 0.797)
16:39:45:648,(1.501. 1.286. -0.218),(0.047. 0.649. 0.274. 0.708)
16:39:46:653,(1.530. 0.990. -0.476),(0.380. 0.824. -0.366. 0.204)
16:39:47:658,(1.288. 0.778. 0.015),(0.565. -0.089. -0.123. 0.811)
16:39:48:663,(1.158. 1.146. -0.006),(0.101. -0.229. 0.206. 0.946)
16:39:49:668,(1.485. 1.013. -0.139),(0.347. 0.459. 0.052. 0.816)
16:39:50:674,(0.909. 0.856. 0.001),(0.192. -0.679. -0.078. 0.704)
16:39:51:681,(0.986. 0.872. -0.012),(0.101. -0.572. -0.245. 0.776)
16:39:52:686,(1.214. 0.824. -0.046),(0.079. -0.325. -0.279. 0.900)
16:39:53:691,(1.226. 0.815. -0.051),(0.054. -0.314. -0.306. 0.897)
16:39:54:695,(1.312. 0.881. -0.106),(-0.034. -0.164. -0.182. 0.969)
16:39:55:701,(1.280. 1.266. -0.125),(-0.137. -0.030. 0.270. 0.953)
16:39:56:706,(1.002. 0.959. -0.002),(-0.141. -0.658. -0.144. 0.725)
16:39:57:711,(1.343. 1.072. -0.110),(0.038. -0.059. 0.219. 0.973)
16:39:58:717,(0.909. 0.780. 0.013),(0.093. -0.750. -0.194. 0.625)
16:39:59:723,(1.344. 1.043. -0.060),(-0.140. -0.162. 0.146. 0.966)
16:40:00:73,(1.138. 0.799. -0.035),(-0.041. -0.403. -0.375. 0.834)
16:40:01:733,(1.454. 1.113. -0.137),(-0.120. 0.063. 0.206. 0.969)
16:40:02:738,(1.169. 0.884. 0.009),(-0.043. -0.430. -0.254. 0.865)
16:40:03:743,(1.544. 0.892. -0.212),(-0.003. 0.197. -0.045. 0.979)
16:40:04:749,(1.628. 0.931. -0.195),(0.055. 0.333. 0.027. 0.941)
16:40:05:754,(1.598. 0.903. -0.181),(0.053. 0.256. 0.000. 0.965)
